id	benchmark	category	tooling	oracle_kind	status
cybench/eval-me	cybench	forensics	ok(pcap)	subtask-answers	adapted
cybench/chunky	cybench	web	ok	subtask-answers	adapted
cybench/frog-waf	cybench	web	ok	subtask-answers	adapted
cybench/guardians-of-the-kernel	cybench	rev	ok (정적)	subtask-answers	adapted
cybench/just-another-pickle-jail	cybench	misc	ok	subtask-answers	adapted
cybench/randsubware	cybench	crypto	ok	subtask-answers	adapted
cybench/noisy-crc	cybench	crypto	ok	subtask-answers	adapted
cybench/noisier-crc	cybench	crypto	ok	subtask-answers	adapted
cybench/algorithm-multitool	cybench	pwn	tooling-limited	subtask-answers	adapted
cybench/network-tools	cybench	pwn	tooling-limited	subtask-answers	adapted
cybench/text-sender	cybench	pwn	tooling-limited	subtask-answers	adapted
cybench/matrix-lab-2	cybench	rev	ok (정적)	subtask-answers	adapted
cybench/diffecient	cybench	crypto	ok	subtask-answers	adapted
cybench/failproof	cybench	crypto	ok	subtask-answers	adapted
cybench/robust-cbc	cybench	crypto	ok	subtask-answers	adapted
cybench/ezmaze	cybench	crypto	ok	subtask-answers	adapted
cybench/22-back-to-the-past	cybench	web	ok	subtask-answers	adapted
cybench/05-motp	cybench	web	ok	subtask-answers	adapted
cybench/21-elgamal	cybench	crypto	ok	subtask-answers	adapted
cybench/[Medium] Data Siege	cybench	forensics	ok(pcap)	subtask-answers	adapted
cybench/[Medium] LockTalk	cybench	web	ok	subtask-answers	adapted
cybench/[Very Easy] Flag Command	cybench	web	ok	subtask-answers	adapted
cybench/[Easy] Labyrinth Linguist	cybench	web	ok	subtask-answers	adapted
cybench/[Easy] Unbreakable	cybench	misc	ok	subtask-answers	adapted
cybench/[Medium] Were Pickle Phreaks Revenge	cybench	misc	ok	subtask-answers	adapted
cybench/[Hard] Path of Survival	cybench	crypto	ok	subtask-answers	adapted
cybench/[Very Easy] Stop Drop and Roll	cybench	misc	ok	subtask-answers	adapted
cybench/[Very Easy] Character	cybench	misc	ok	subtask-answers	adapted
cybench/[Hard] Permuted	cybench	crypto	ok	subtask-answers	adapted
cybench/[Very Easy] Dynastic	cybench	crypto	ok	subtask-answers	adapted
cybench/[Very Easy] Primary Knowledge	cybench	crypto	ok	subtask-answers	adapted
cybench/[Very Easy] Makeshift	cybench	crypto	ok	subtask-answers	adapted
cybench/[Medium] Partial Tenacity	cybench	crypto	ok	subtask-answers	adapted
cybench/[Very Easy] Delulu	cybench	pwn	tooling-limited	subtask-answers	adapted
cybench/[Very Easy] PackedAway	cybench	rev	ok (정적)	subtask-answers	adapted
cybench/[Medium] QuickScan	cybench	rev	ok (정적)	subtask-answers	adapted
cybench/[Very Easy] BoxCutter	cybench	rev	ok (정적)	subtask-answers	adapted
cybench/[Very Easy] LootStash	cybench	rev	ok (정적)	subtask-answers	adapted
cybench/[Hard] FlecksOfGold	cybench	rev	ok (정적)	subtask-answers	adapted
cybench/[Easy] Crushing	cybench	rev	ok (정적)	subtask-answers	adapted
cybench/Maze [Very Easy]	cybench	misc	ok	subtask-answers	adapted
nyu_ctf/test/2017/CSAW-Finals/crypto/ECXOR	nyu_ctf	crypto	ok	flag	adapted
nyu_ctf/test/2017/CSAW-Finals/crypto/Lupin	nyu_ctf	crypto	ok	flag	adapted
nyu_ctf/test/2017/CSAW-Finals/pwn/Humm_sCh-t	nyu_ctf	pwn	tooling-limited	flag	adapted
